Nome da Música,link,album,letra
Assim Sem Fim,/skank/assim-sem-fim.html,Estandarte,"Não finja um beijo que Já não é mais seu Nem diga que esse chão Da casa, não é mais meu  Se tem algo a dizer Que devolva em goles sãos Qual é o tempo dessa solidão? Aonde é o centro desse furacão?  Vestida de brisa assim Sob meus olhos de Zeus Que te acompanham então Na casa, que adormeceu  Nem tem tanto a dizer Mas trago ouvidos e pão Na velocidade de amores vãos Aonde termina nossa solidão  Se prepare para o que for No raso do coração O que ainda é meu Não me devolva não  Sorte assim sem fim Porque ninguém percebeu As marcas de dentes Aonde você mordeu Me tem tanto a dizer Que o tempo eu conto assim Pra gente comer sentados no chão Aonde termina esse furacão"
Até O Amor Virar Poeira,/skank/ate-o-amor-virar-poeira.html,Carrossel,"Quem te disse que eu não mereço Uma pobre migalha de atenção Quem te disse que eu desconheço A tal milenar arte do amor Captura minhas intenções Me atura no coração Seja então menos exigente Porque a gente já tem o bastante Você tem outras qualidades E pode me dar as costas Até o amor virar poeira Só não compensa Apagar a chama, negar os fatos Sua presença Como um sol me chama a vida inteira Ilusão, eu quero crer que não Quem te disse que eu não consigo Parar numa próxima estação Quem te disse que eu não desligo O cabo dessa televisão Meu amor, vamos dar o fora Chorar em comédias outras Até o amor virar poeira"
Baixada News,/skank/baixada-news.html,Skank 91,"Zilda é uma mulher que mora na baixada fluminense Mãe de cinco filhos cinco bocas pra comer Seu ex-marido trabalhava como trocador de ônibus Trocou Zilda por uma dama que passou pela roleta A vida ja não era fácil com a ajuda dele lá Agora Zilda ta sozinha com os filhos pra criar Às cinco horas ela acorda e prepara o café, depois com outros pescadores vai pro mangue de Magé.  Refrão  O Bahia de Guanabara a pesca do caranguejo Bahia de Guanabara impossível mais eu vejo Bahia de Guanabara a pesca do carangueju Bahia de Guanabara impossivel mais eu vejo  Aos vinte oito anos Zilda diz que é dona de si mesma Não pensa muita coisa não espera nada de ninguém Catando a vida pelas patas dando tapas no destino Arregaçar as mangas no mangue paciência em cada gota de sangue. A vida já não era fácil com a ajuda do marido Mais ela sabe não pensar no que podia ter sido. Às cinco horas ela acorda e prepara o café, depois com outros pescadores vai pro mangue de Magé.  Refrão"
Balada do Amor Inabalável,/skank/balada-do-amor-inabalavel.html,Multishow Ao Vivo no Mineirão,"Eu levo essa canção de amor dançante pra você lembrar de mim, Seu coração lembrar de mim Na confusão do dia-a-dia No sufoco de uma dúvida, Na dor de qualquer coisa É só tocar essa balada de swing inabalável Que é o oásis pro amor Eu vou dizendo na sequência bem clichê Eu preciso de você  Pa-nan-nan...  É força antiga do espírito virando convivência De amizade apaixonada Sonho, sexo, paixão Vontade ingênua de ficar e não pensar em nada Planejando pra fazer acontecer ou simplesmente Refinando essa amizade Eu vou dizendo na sequência bem clichê Eu preciso de você  Pa-nan-nan...  Mesmo que a gente se separe por uns tempos Ou quando você quiser lembrar de mim Toque a balada do amor inabalável Swing de amor nesse planeta Mesmo que a gente se separe por uns tempos Ou quando você quiser lembrar de mim Toque a balada seja antes ou depois, Eterna love song de nós dois  Leva essa canção de amor dançante Pra você lembrar de mim, Seu coração lembrar de mim Na confusão do dia-a-dia no sufoco de uma dúvida, Na dor de qualquer coisa  Pa-nan-nan..."
Balada Pra João E Joana,/skank/balada-pra-joao-e-joana.html,Carrossel,"Então os dois se acharam na escuridão Ela com os pés no chão e ele não Seu destino cego a lhes conduzir Sua sorte à solta a lhes indicar um caminho E dançavam lá em meio a tanta gente Se encontraram ali Djô Djô, o mundo está tão mau lá fora Djô Djô, onde irão vocês agora E tudo aconteceu Quando as mãos se tocaram Quando os olhos nem viram Quando a noite chegou Então eles se deram na convicção Feitos um pro outro, mas por exclusão Seu destino cego a lhes conduzir Sua sorte à solta a lhes indicar um caminho E dançavam lá em meio a tanta gente Se encontraram ali Djô Djô, cai um temporal lá fora Djô Djô, onde irão vocês agora E tudo aconteceu Quando as mãos se tocaram Quando os olhos nem viram Quando a noite chegou E tudo estremeceu As paredes do tempo Os telhados do mundo As cidades do céu Eram os dois avessos aos normais Ela com os pés no chão, e o chão se abriu Um abismo E dançavam lá em meio a tanta gente Se perderam ali Djô Djô, nada pára, nada espera Djô Djô, que o destino assim quisera E tudo aconteceu Quando as mãos se tocaram Quando os olhos nem viram Quando a noite chegou E tudo estremeceu As paredes do tempo Os telhados do mundo As cidades do céu"
Beijo na Guanabara,/skank/beijo-na-guanabara.html,,Teu beijo pousou sobre mim Como um manto de espuma Amarga e salgada do mar Que um dia eu chorei  Teu beijo desceu sobre mim Como lâmina fria Da misericórdia e cortou Do meu corpo a dor  Se eu dissesse que ainda te amo Se eu dissesse Que ainda te espero  Palavras seriam somente palavras de amor No corpo descansa a verdade e a dor Palavras seriam somente palavras de amor No corpo descansa a verdade e a dor De te amar  Teu beijo aportou sobre mim Como a música rara Do mais belo pôr do sol Da mais bela Guanabara  Teu beijo deixou sobre mim A magreza obtusa Da mais cruel das esperanças E um dia eu sonhei  Se eu dissesse que ainda te amo Se eu dissesse Que ainda te espero  Palavras seriam somente palavras de amor No corpo descansa a verdade e a dor Palavras seriam somente palavras de amor No corpo descansa a verdade e a dor De te amar  Que ainda te espero Palavras seriam somente palavras de amor Palavras de amor seriam somente Seriam somente
Beleza Pura,/skank/beleza-pura.html,,"Não me amarra dinheiro não Mas formosura Dinheiro não A pele escura Dinheiro não A carne dura Dinheiro não  Moça preta do Curuzu Beleza pura Federação Beleza pura Bôca do rio Beleza pura Dinheiro não  Quando essa preta Começa a tratar do cabelo É de se olhar Toda trama da trança Transa do cabelo Conchas do mar Ela manda buscar Prá botar no cabelo Toda minúcia, toda delícia  Não me amarra dinheiro não Mas elegância  Não me amarra dinheiro não Mas a cultura Dinheiro não A pele escura Dinheiro não A carne dura Dinheiro não  Moça linda do Badauê Beleza pura Do Ilê-Aiê Beleza pura Dinheiro yeah Beleza pura Dinheiro não  Dentro daquele turbante Do filho de Gandhi É o que há Tudo é chique demais Tudo é muito elegante Manda botar Fina palha da costa E que tudo se trance Todos os búzios Todos os ócios  Não me amarra dinheiro não Mas os mistérios  Não me amarra dinheiro não Beleza pura Dinheiro não Beleza pura Dinheiro não Beleza pura Dinheiro yeah  Beleza pura"
Cadê O Penalty?,/skank/cade-o-penalty.html,Skank 91,"Cadê o pênalti que não deram Pra gente no 1o tempo? Vencer era uma necessidade Um privilégio fazer planos e classificar Sonhar, jogar, decidir e ganhar E depois festejar e se banhar Num mar de rosas Pênalti, pênalti, pênalti Mas como não foi possível Isso tudo acontecer A galera magoada, triste, grita e chora E pergunta pra você"
Calipsoê,/skank/calipsoe.html,,"Foi a barra que desmaiou Inda nem clareou De repente te vi socar A sandália no chão  Essa noite que me salvou Vou casar com alguém Ê por baixo do pano No final do ano Ou no ano que vem  Ê por baixo da ponte água fresca passa Ê por cima da cabeça, avião Ê por baixo da saia, a seda e a graça E a febre de cada coração  Ê por dentro da caixa preta tudo vive E por fora dessa dor, só verão Ê por mim não largava o amor que um dia eu tive Ê por fora a canção da solidão  Mas quando o sol deixar o meu jardim florido Eu vou lá perguntar se ela me quer Ê quando o perigoso amor me der abrigo Vou subindo nas águas da maré  Ê por dentro da caixa preta tudo vive E por fora dessa dor, só verão Ê por mim não largava o amor que um dia eu tive Ê por fora a canção da solidão  Ê coqueiro na areia balança o corpo Ê menina que me balança mais Ê ronco das estrelas que me leva embora Ê silêncio do mundo que me traz  Ai mamá que eso todo eh Tiembla como estrellas La canción que me diste oh Hoy yo quiero decirla Cuando el este en mi corazón Levantó su bandera Fué la ciudad entera Una cordillera de canto y pasión"
Canção Áspera,/skank/cancao-aspera.html,Estandarte,Não espere nada Seja o que for Estou só de passagem Breve é o amor  Não espere o dia Deixe como está Sigo essa miragem Não sei a razão  Estou em paz com minha guerra e o tempo que passou veloz e devagar estou em paz na tempestade e nada que parece ser seu lugar  Não espere nada Deixa assim então Sei que o mundo é oco Menos que a paixão  Não sou nada disso São desejos seus Não será difícil Breve é o adeus  Vim com minhas noites Vou sem seu perdão Sigo essa miragem Não espere não   It’s a lonely way It’s a rugged song I woke up today I knew it would be long  Estou em paz com minha guerra E o tempo que passou veloz e devagar Estou em paz na tempestade E nada aqui parece ser o seu lugar
Canção Noturna,/skank/cancao-noturna.html,Multishow Ao Vivo no Mineirão,"Misterioso luar de fronteira Derramando no espinhaço quase um mar Clareando a aduana Venezuela, donde estás?  Não sei por que nessas esquinas eu vejo o seu olhar  Minha camisa estampada com o rosto de Elvis A minha guitarra é minha razão Minha sorte anunciada Misteriosamente a lua sobre nada  |não sei por que nessas esquinas vejo o seu olhar |não sei por que nessas esquinas vejo o seu olhar |espalhe por aí boatos de que eu ficarei aqui |espalhe por aí boatos de que eu ficarei aqui  Vem, mamacita, doida e meiga. Sempre o âmago dos fatos Minha guerra e as flores do cactos Poema, cinema, trincheira.  Não sei por que nessas esquinas eu vejo o seu olhar Um cego na fronteira, filósofo da zona. Me disse que era um dervixe Eu disse pra ele, camarada: Eu acredito em tanta coisa que não vale nada  |não sei por que nessas esquinas vejo o seu olhar |não sei por que nessas esquinas vejo o seu olhar |espalhe por aí boatos de que eu ficarei aqui |espalhe por aí boatos de que eu ficarei aqui   Não sei por que nessas esquinas vejo seu olhar Não sei por que nessas esquinas vejo seu olhar Velejando, viajando sol quarando Meu querer, meu dever, meu devir E eu aqui a comer poeira Que o sol deixará Não sei por que nessas esquinas vejo o seu olhar Não sei por que nessas esquinas vejo o seu olhar."
