Nome da Música,link,album,letra
Jackie Tequila,/skank/jackie-tequila.html,Rock In Rio ao vivo,"Funk lá no morro da mangueira Essa menina tá dizendo sim, eu sei Noite bamba tudo a beça Baião na rampa do Cruzeiro  Essa menina tá dizendo don't worry Cause everything is gonna be alright Everything, every tune will be played by night  Seu nome é Jackie, Jackie Tequila Jacqueline Misty Tequila  Reggae lá na radio do Café Rapaziada que estiver afim, vai lá Eu vou ficar com Jackie Se é que Jackie vai pra lá  E se não for já foi O bonde do desejo segue rumo Caixa, bumbo e sexo Saudade na rampa do mundo  Seu nome é Jackie, Jackie Tequila Seu nome é Jacqueline Misty Tequila  Jackie foi nascer numa cabana em Noa Noa Sol do Taiti na pele na boa Seu pai cruzou o mar duas filhas na canoa Côco pra beber e leite de leoa Jackie uma menina tão bonita que enjoa Enjôo de vertigem. viagem de avião Hálito de virgem, dois olhos de amêndoa Vaca cadela macaca e gazela Linda toda. Toda linda ela Toda beleza se reconhece nela Jackie Tequila coca-cola e água Égua língua mingua minha mágoa"
Let Me Try Again,/skank/let-me-try-again.html,Skank 91,"I know I said that I was leaving But I couldn't say goodbye It was only self deceiving To walk away from someone who Means everything in life to you You learn from every lonely day I've learned and now I'm back to say  Let me try again Think of all we had before Let me try once more We can have it all You and I again Please forgive me or I'II die Let me try again  I was such a fool to doubt you To try to go it all alone There's no sense in life without you Now all do is just exist And think about the chance I've missed To beg, is not an easy task Pride, such a foolish mask  Let me try again Think of all we had before Let me try once more We can have it all You and I again Please forgive me or I'II die Let me try again"
Los Pretos,/skank/los-pretos.html,O Samba Poconé,"Los pretos que tienen casas Los pretos que no las tienen Los pretos que tienen cosas Los pretos que no las tienen Quiénes son los pretos? Los pretos deben ser hermosos Ahora mismo debem serlo Añadir su gran elegancia A la fiesta del occidente A las puertas del novo siglo Miro a uno detrás del cigarillo Su porte esguío y correcto Como un hijo de dioses originales Quiénes son los pretos? Los pretos que quieren cosas Los pretos que no las tienen Me siento como uno de ellos Yo que quiero ser álguien Toda esperanza a los pretos Toda esperanza a nosotros Los pretos de Manhattan, los pretos de los guetos Los pretos de ojos en los astros"
Lugar,/skank/lugar.html,Carrossel,Voltei pra ler aquele olhar De um amor que a gente mesmo escreveu Que foi guardado sem pensar Nas linhas de um desejo meu Fiquei olhando todo espaço Recriando um compasso seu Sorri sonhando em qual gaveta Nosso amor se escondeu  Mas guarde seu nome pra mim Seus dias eu não deixo mais ter fim O vento arde em versos por saber Nessa tarde o sol é só por você  Chorei por ver nesse lugar O que a palavra já teceu Sou do seu tempo um retrato Quando meu sonho era todo seu Sorri por ver no nosso amor Todas as portas pra você e eu Fiquei pensando em qual cometa Nosso amor adormeceu  Mas guarde seu nome pra mim Seus dias eu não deixo mais ter fim O vento arde em versos por saber Nessa tarde o sol é só por você
Macaco Prego,/skank/macaco-prego.html,Skank 91,"Eu sou macaco prego O bicho mais bonito do terreiro Só não vê quem é cego Eu gosto de mim mesmo o tempo inteiro Eu sou macaco prego Custei pra dar um jeito no cabelo Cuidado que eu te pego Não vem passando o dedo no meu pêlo O sol do meio dia é um chicote Eu tenho algum trabalho pra fazer Outro macaco entrou no meu caixote Vou lá botar o mico pra correr Eu sou macaco prego O boy qe tá com ela é um martelo Se gosto, me esfrego Quem manda ter Um corpo assim tão belo Recato em macaco é bobagem Não poderia ser de outra maneira Receba essa singela homenagem Oh dama de ondulante cabeleira Eu sou macaco prego Eu vivo e não me entrego Não peço e não delego - satisfação Eu sou macaco prego Eu vivo e não me entrego Não peço e não delego Please to meet you Sou macaco prego Eu sou macaco prego Sou macaco prego Sou macaco e não nego  Jaqueline S. Almeida"
Mandrake E Os Cubanos,/skank/mandrake-e-os-cubanos.html,Siderado,"Será que você gostou Desse terno que eu comprei Parece um fraque de um Mandrake Foi no centro que eu achei Será que você gostou Dessas meias de algodão, uuu Disseram que no inverno esfriam E esquentam no verão, uuu Vou combinar com meus sapatos De couro de cascavel Botar no bolso uns cubanos Que me deram lá no motel Eu hoje sou cabra da peste Sou mute lá no Correia Nem cult nem cafajeste Só lobo na lua cheia  Será que você gostou Desse anel daqueles hippies Parece a gema dos seus olhos Irriquietos acepipes Vou combinar com uma gravata De peixes orientais Botar no bolso um pente de osso E umas ervas naturais Eu hoje sou cabra da peste Sou mute lá no Correia Nem cult nem cafajeste Só lobo na lua cheia  Capa, bengala e cartola Ela tem lábios de mola Pega o jaleco e ""vamo"" embora Vê se liga qualquer hora Capa, bengala e cartola Ela tem lábios de mola Pega o jaleco e ""vamo"" embora Vê se liga qualquer hora Será que você gostou Desse terno que eu comprei Parece um fraque de um Mandrake Foi no centro que eu achei Vou combinar com meus sapatos De couro de cascavel Botar no bolso uns cubanos Que me deram lá no motel Eu hoje sou cabra da peste Sou mute lá no Correia Nem cult nem cafajeste Só lobo na lua cheia Capa, bengala e cartola Ela tem lábios de mola Pega a echarpe e dá o fora Vai chover marido agora Capa, bengala e cartola Ela tem lábios de mola Pega o jaleco e ""vamo"" embora Vê se liga qualquer hora Capa, bengala e cartola Ela tem lábios de mola Pega a echarpe e dá o fora Vai chover marido agora"
Maquinarama,/skank/maquinarama.html,Maquinarama,"Motorista, siga aquela lua! Aquela placa, aquela seta, aquela rua Pois a minha sorte não vai certa como a sua Mas atravessa esse beco e continua  Motorista, siga aquela moça! Corpo de seda, coração de louça Abaixe o rádio pra que ela me ouça E guarde os meus sonhos em sua bolsa  Motorista, siga aquela lua! Aquela placa, aquela seta, aquela rua Pois a minha sorte não vai certa como a sua Mas atravessa esse beco e continua  Olha, artista, é depois da reta Até depois de ter sua missão completa Depois de ver que não houve meta Que a felicidade é Deus que soletra  Eu sei que essa vida contém Cenas de perplexidade Esse filme, pensando bem É impróprio pra qualquer idade  Na esquina me dê dois minutos Pra roubar a ela beijos curtos Que o amor derruba viadutos E vai e vem com seus modos brutos  Agora, siga, pegue aquela pista! Não vou voltar, ainda tendo em vista Que a confusão humana se tornou ilícita Chora, se emociona e posa pra revista  Olha, artista, é depois da reta Até depois de ter sua missão completa Depois de ver que não houve meta Que a felicidade é Deus que soletra  Eu sei que essa vida contém Cenas de perplexidade Esse filme, pensando bem É impróprio pra qualquer idade  Motorista, siga aquela lua! Aquela placa, aquela seta, aquela rua Pois a minha sorte não vai certa como a sua Mas atravessa esse beco e continua  Eu sei que essa vida contém Cenas de perplexidade Esse filme, pensando bem É impróprio pra qualquer idade"
Marginal Tietê,/skank/marginal-tiete.html,Siderado,"Jatos e carros voam sobre o canal Farsantes garças esparsas na imundície geral Tudo legal nas alturas, parece Como parece impossível dar um jeito no lixo  Mulheres querem amor e poder E os homens querem somente aquilo que é irreal Tudo normal nas cabeças, parece Como parece tranquilo ser fiel a alguém  É fácil dar trabalho, casa e comida Até dinheiro ou crédito, se você quer saber Tudo legal com os meios, parece E parecia tão óbvio manter a vista intacta  Não é possível que isso seja o final Não é possível que exista o provisório eterno Tudo legal no inferno, parece Como parece tão simples vestir a roupa e sair  Não existe megabyte para uma vontade E a gente nunca quer nada fácil"
Mil Acasos,/skank/mil-acasos.html,Rock In Rio ao vivo,"Mil acasos me levam a você O sábado, o signo, o carnaval Mil acasos me tomam pela mão A feira, o feriado nacional Mil acasos me levam a perder O senso, o ritmo habitual Mil acasos me levam a você No início, no meio ou no final Me levam a você De um jeito desigual Mil acasos apontam a direção Desvio de rota é tão normal Mil acasos me levam a você No mundo concreto ou virtual Me levam a você De um jeito desigual Quem sabe, então, por um acaso Perdido no tempo ou no espaço Seus passos queiram se juntar aos meus Seus braços queiram se juntar aos meus  Mil acasos me levam a você No início, no meio ou no final Mil acasos me levam por aí Na espuma do tempo, no temporal Mil acasos me dizem o que sou Ateu praticante ocidental Me levam a você De um jeito desigual Quem sabe, então, por um acaso Perdido no tempo ou no espaço Seus passos queiram se juntar aos meus Seus braços queiram se juntar aos meus"
Minas Com Bahia,/skank/minas-com-bahia.html,Regravação de Daniela Mercury,"Sacudir estrelas Despertar desejos Numa noite fria Uma noite fria Uma noite fria  No meio da rua Lá de longe eu vejo Minas com Bahia E o samba ia Juro que ia  Amanhã é domingo, menina Ninguém vai te acordar Deixa chover na esquina Deixa a vida rolar  Burungundum bateu meu tambor Quero cuncunca rever meu amor Ti ri ti tira a esteira daqui Porque só vim buscar (meu amplificador)  Sacudir o mundo Procurar no fundo O que leva uma dia Até outro dia Até outro dia  Uma hora dessas E você tão só Eu fiquei com dó Eu só disse ó Eu te quero muito bem"
Muçulmano,/skank/muculmano.html,Maquinarama,"No quarto de hotel Eu, devoto, me ajoelho Na beira da cama, encosto Bem de frente pro espelho E teu cheiro me vem de repente Como uma assombração Faz ranger o assoalho E esquenta o meu colchão  Do muçulmano a Meca Do santo a compaixão Você é meu descaminho É minha direção  Agora eu sei, you know (2x)  A velha fotografia amarela na carteira Minhas longas costeletas Seu cabelo de hospital Quando tudo era engraçado Quando em braços esticados Conseguia te pegar Quando tudo era legal  Do muçulmano a Meca Do santo a compaixão Você é meu descaminho É minha direção  Agora eu sei, you know (2x)  Parado, congelado Tenho medo de andar Se eu for pro lado errado Posso me distanciar Do ponto imaginário Onde você deve estar Que é pra onde eu me viro Quando é hora de deitar  Do muçulmano a Meca Do santo a compaixão Você é meu descaminho É minha direção  Agora eu sei, you know (2x)  Tudo engraçado Tudo é legal O nosso começo Não tem final"
Multidão (part. BNegão),/skank/multidao-part-bnegao.html,Velocia,"A multidão está pegando fogo (o fogo vai queimar) Tudo está pegando fogo Por que não aparece ninguém? Por que ninguém aparece  A multidão também está com fome (com fome ela está) O pão vem do trabalho do homem Precisa de trabalho e não tem A vida com trabalho é nobre  Vamos começar de novo (quem faz, o que faz, por que faz) Vamos vira esse jogo (quem cai, quem sai, quem vai) Vamos devolver em dobro (quem faz, o que faz, porque faz) Vamos remover o mofo (quem sai, quem vai, quem cai)  A multidão levanta a voz do povo (o povo quer cantar) Levanta a voz do povo Não adianta manipulação E não é por mal é pro bem Entre erros e acertos Sabemos porque lutamos Sabemos de que lado estamos, irmão Se não vai por bem, vai por mal  Essa é a situação  A multidão não quer papel de bobo (e o jogo vai virar) Ninguém aqui é bobo Nós vamos engatar esse trem A cada estória cantada A cada estória contada pelo canção Vamos embarcar nesse trem Ter coragem pra cantar Ter coragem pra cantar essa canção  Vamos relembrar em coro (quem faz, o que faz, por que faz) Feijão na mesa do almoço (sem mais, que tais, fico em paz) Ladrão vai para o calabouço (quem vai, quem sai, quem cai) Água limpa nesse poço E pede aos céus e a Oxalá coragem pra vencer Vencer esse dragão Dragão gigante da pura maldade e opressão Muitos tentarão e outros tantos tombarão Levante na verdade Enxergue a luz que vai além deste instante Na voz real que flui de cada habitante Nas ruas, nos becos, amotinados dançam E avançam pra bem longe do medo escravizante Comemore esse momento, nossa ação não será em vão  A multidão está na rua de novo (de novo ela está) A multidão toda ao redor do globo Vamos engatar esse trem Vamos embarcar nesse trem  Pra começar tudo de novo (quem faz, o que faz, por que faz) Vai envolver o mundo todo (quem vai, quem sai, quem cai) Lavar o chão, passar o rodo (quem sai quem vai, e quem cai) Não vamos afundar no lodo (quem faz, o que faz, por que faz)  Chega de sermos cidadãos esmagados Oprimidos e violentados pelo Estado Vampirizados pela maior parte da classe dominante Esse sim, os verdadeiros terroristas Que tudo fazem pra se manter no poder, numa guerra suja Enquanto a população real luta pra sobreviver Luta por uma dignidade mínima Querer existir, sem a respiração Presa, sem medo, ou seja Não queremos sobreviver, queremos viver  Se expressar não é crime, aceitar tudo, pacificamente Já não é mais possível Se a população não é ouvida A população tem que se fazer ouvir Se a população nunca foi respeitada Tá na hora de se fazer respeitar Somos todos seres humanos E não classes e subclasses de gente Chega dessa vida aparente Direitos e deveres todos temos Temos direito de soltar o grito Preso na garganta, amordaçado pelos opressores Lobos em pele de cordeiro Aqui quem fala é Bnegão, brasileiro Cidadão do mundo, transmitindo diretamente das ruas Do Rio de Janeiro"
Não Vou Ficar (Com Ivete Sangalo),/skank/nao-vou-ficar-com-ivete-sangalo.html,Regravação de Roberto Carlos,"Há muito tempo eu vivi calado, mas agora resolvi falar Chegou a hora, tem que ser agora com você não posso mais ficar Não vou ficar, não Não posso mais ficar, não, não, não  Toda verdade deve ser falada e não vale nada se enganar Não tem mais jeito tudo está desfeito e com você não posso mais ficar Não vou ficar, não Não posso mais ficar, não, não, não  Pensando bem Não vale a pena Ficar tentando em vão O nosso amor não tem mais condição, não  Por isso resolvi agora te deixar de fora do meu coração Com você não dá mais certo e ficar sozinho é minha solução É solução, sim Não tem mais condição, não, não, não"
No Meio do Mar,/skank/no-meio-do-mar.html,Siderado,"Ouve o som, então, tom Tudo vai durar Só eu passo, só eu morro, socorro No meio do mar  Se matar não precisa Nós vivemos de brisa E a cada mês tudo nos falta Na medida exata  Tudo certo, tranquilo Toca isso e aquilo Ouve cry of love Enquanto o mundo se move  Meu amor Que mundo é esse o seu? Mar afora Tão longe você e eu  Os fracassos são nove Eu vou fazendo o que posso E só o sol me dá remorso Sem explicar  Me deixar não precisa Escreve algo, me avisa Me acerte logo às sete Promete  Tudo certo, tranquilo Toca isso e aquilo Ouve cry of love Enquanto o mundo se move  Meu amor Que mundo é esse o seu? Mar afora Tão longe você e eu"
Noites de Um Verão Qualquer,/skank/noites-de-um-verao-qualquer.html,Multishow Ao Vivo no Mineirão,"Noites de um verão qualquer Eu me sufoco nesse ar O corpo venta em preto O chão devora o espaço ocular  Noites de um verão qualquer Deixa que ela entenda o traço Que invente a fuga por nós dois Que sou seus pés, eu sou também seus braços  Noites de um verão qualquer Dentro da febre desse abraço Satélite voltou do céu Eu sou o resto, sou também o aço  Uh-uh-uh-uh-uh Uh-uh-uh(2x)  Noites de um verão qualquer Sob sua pele encontrei abrigo Pra gente se devorar Na órbita do seu umbigo  Seguem infinitos metros Pra perto desse abraço Eu tento respirar Desdar o nó que aperta esse laço  Noites de um verão qualquer Deixa que ela entenda o traço Que invente a fuga por nós dois Que sou seus pés, eu sou também seus braços"
Nômade,/skank/nomade.html,Cosmotron,"A minha casa está onde está o meu coração Ele muda, minha casa não No campo, em minas, terras gerais ou qualquer lugar Onde estou, a minha casa está  Porque que eu sou apenas movimento Sou do mundo, sou do vento Nômade  Porque quando paro sou ninguém Não declaro onde ou quem Nômade  Meu endereço é o sítio estrelado de norte a sul Ele muda a cada estação Na boca do sertão, na varanda do seu olhar Onde estou, a minha casa está  Porque eu sou apenas movimento Sou do mundo, sou do vento Nômade  Porque quando passo sou alguém Sou do espaço, sou do bem Nômade A minha carne é feita de tudo que vai e vem Tempo, nuvem, aflição também Encontro e perda ao mesmo tempo, eu não vou parar Onde estou, a minha casa está   Porque eu sou apenas movimento Sou do mundo, sou do vento Nômade  Porque quando passo sou alguém Sou do espaço, sou do bem Nômade"
Notícia,/skank/noticia.html,Carrossel,"O tempo veio hoje me encontrar Parando na minha janela O tempo só chegou pra me dizer Tudo que não pude perceber Depois de mudar tanto o que toquei O tempo vem trazendo algumas marcas Na rua e no meu coração Parece que alguém perde a razão O tempo passa e nunca me avisou E agora começa a acontecer Aqui tão longe, ali bem mais perto de você Ferve demais nesse verão O tempo choveu fora da estação Por isso me chamou pra uma conversa Na rua e no meu coração Parece que alguém perdeu a certeza O tempo veio hoje me encontrar Ainda quer me dar uma chance O tempo só chegou pra me dizer Tudo que não pude perceber A onda imensa bate e leva a casa que vivi O vento é forte e fortes não são as cidades que ergui Algum mal fiz pra tanta resposta má Do sol, montanha, vento e mar Existe um céu de mísseis e de escudos contra mim Um céu de estrelas de cometas me chama Eu vou pedir, pedir que eu possa prosseguir Entre o sol, montanha, vento e mar A luz batendo no meu rosto é o sol mais quente que senti Queimando planta, gente e tudo que nasce por aqui Algum mal fiz pra tanta resposta má Do sol, montanha, vento e mar O tempo veio hoje me encontrar Vem me falar de uma chance"
Notícias do Submundo,/skank/noticias-do-submundo.html,Estandarte,"Todos ouvem o sinal Que atravessa a galeria No sentido da central A serpente risca o underground  Entra gente em profusão Nas entranhas do metrô Como Ulisses na odisséia Quantos deles poderão voltar  Veja só o mar Que se abre num abismo E cospe as notícias da semana  As paredes vêm trazer Os jornais do subway Estações do inferno e céu Cujo nome exato eu não sei  As artérias, os pulmões Plenos de desilusão Vejo a mim não vejo mais Tudo aqui dispara em lentidão  Veja só o mar Que se abre um abismo E cospe as notícias da semana  Ninguém percebeu E você enxerga algo Que ultrapassa as folhas da vidraça"
O Beijo E A Reza,/skank/o-beijo-e-a-reza.html,Multishow Ao Vivo no Mineirão,"Iça, iça vela do barco Mar do Atlântico Sul Marinheiro João do Arco Anjo do céu azul Iça, iça âncora vela Três milhas do atol Sol na nuca e o corpo dela Ofusca a luz do sol Quem avista a ilha do amor No mar só se dá bem Um peixe que eu pesquei me fisgou Fui seu peixe também Me dá um beijo porque o beijo é uma reza pro marujo que se preza Me dá um beijo porque o beijo é uma reza pro marujo que se preza Oa, Oa balanço do mar Oa, Oa amor, vida boa Oa, Oa vento da na vela Oa, Oa me leva pra ela Iça, iça vela do barco Mar do Atlântico Sul Marinheiro João do Arco Anjo do céu azul Iça, iça âncora vela Três milhas do atol Sol na nuca e o corpo dela Ofusca a luz do sol Roupa lavada no varal Cega minha visão Moça do batalhão naval Pega na minha mão Me dá um beijo porque o beijo é uma reza pro marujo que se preza Me dá um beijo porque o beijo é uma reza pro marujo que se preza Oa, Oa balanço do mar Oa, Oa amor, vida boa Oa, Oa vento da na vela Oa, Oa me leva pra ela Iça, iça vela do barco Mar do Atlântico Sul Marinheiro João do Arco Anjo do céu azul Iça, iça âncora vela Três milhas do atol Sol na nuca e o corpo dela Ofusca a luz do sol Tempestade vai e vem Vai firme no leme, marinheiro Ela me quer, eu já não choro mais Vou correr o mundo inteiro Me dá um beijo porque o beijo é uma reza pro marujo que se preza Me dá um beijo porque o beijo é uma reza pro marujo que se preza Oa, Oa balanço do mar Oa, Oa amor, vida boa Oa, Oa vento da na vela Oa, Oa me leva pra ela"
O Som da Sua Voz,/skank/o-som-da-sua-voz.html,Carrossel,"Não me deixe na chuva não Não me tire do coração Não me diga que vai sem mim  Já conheço esse teu olhar Uma luz a se afastar A quilômetros daqui  Não me deixe na noite não Na travessa da desolação Não me diga que quer assim  Porque ali não há calor Não há luz nem há razão E não há o teu riso  Tudo está tão certo, não está? Vem aqui mais perto, vem mostrar Vem dizer aonde vai seu olhar  Quando a noite estender seu manto sobre nós Meu abrigo então será o som da sua voz"
Onde Estão?,/skank/onde-estao.html,Radiola,"(*) Fecho os olhos Peço para Deus Que possa atender Esses versos e prosa Que eu deixei E eu não sei Se irão Tocá-lo em servidão  Abro a porta Olho para o céu Será que já choveu? No jardim essas rosas Que eu plantei E eu não sei Se estão Mortas ou em botão  E eu me perguntei: Onde estão Todas as crianças Todas as pessoas Que eu já chamei Que eu procurei aqui E que eu tanto amei? Onde estão meus irmãos? Onde estão?  Abro os braços Tanta emoção Quando eu irei te ver? No jardim, essas rosas Que eu plantei Mas eu não sei Se irão Abrir esses botões  Fecho os olhos Peço para Deus Que tente entender Esses versos e prosa Que eu não sei Se eu deixei Em vão Tocar a imensidão  E eu me perguntei: Onde estão Todas as crianças Todas as pessoas Que eu já chamei Que eu procurei aqui E que eu tanto amei? Onde estão meus irmãos? Onde estão?"
Os Exilados,/skank/os-exilados.html,O Samba Poconé,"Meu coração tá batendo De amor e de cansaço Saudade de abraço Do morno regaço Onde eu deixei Um pedaço de mim Um pedaço de mim  Meu coração parecendo Um lobo rubro aço Ficou mudo no abraço É de veludo o laço Com que eu atei Um pedaço de você Um pedaço de você  Com você eu vou mais longe Que os cristos, que as crenças Que o bonde de Valença Com você eu vou mais longe  Meu coração é o seu Seu coração é o meu  Meu coração tá batendo De amor e de cansaço Saudade de abraço Do morno regaço Onde eu deixei Um pedaço de mim Um pedaço de mim  Com você eu vou mais longe Que a ilha de Mallorca Onde a porca torce o rabo E o diabo nos esconde  Meu coração é o seu Seu coração é o meu  Meu coração parecendo Um troço, um erro crasso Tipo ""lost in the space"" Não entende o estilhaço Que é só, eu sei Um balaço de amor  Com você eu vou mais longe Que os cristos, que as crenças Que o bonde de Valença Com você eu vou mais longe  Meu coração é o seu Seu coração é o meu"
Os Homens Das Cavernas,/skank/os-homens-das-cavernas.html,Siderado,"Nós somos a molambeira A vida nos trata a cacete O que é morada eu não sei Se tive já esqueci Aqui debaixo da ponte Ô ô ô é o final Vem na avenida senhor presidente Alguém de nós foi lá ver Dizem que o homem tudo vê Por trás de seus vidros fumê O presidente é a lei Molambada é como urubu Nem palácio, nem barracão Nem dúvida, nem ilusão Homens que vivem nas cavernas Where do they all belong? Estado Folha Globo E o fogo pra acender Pára, come a fome pra viver Bom que saiba Meu irmão cada vez que dorme aqui Truca-se um baralho, jogo bom Sibilina a lua chegou Sete lobas uivaram, eu contei Ou quem sabe, irmã Foi a sirene da Rotam A farejar sua caça Essa raça que não quer morrer Bala passa a mergulhar Acesa na escuridão Isso deve doer Ali vai ser a trincheira Os carros merecem correr São caros e velozes Um carro é o que eu queria ter Levar meu pai na Bahia Ele que gosta do mar Ele que gosta ... Aclimação eu vacilei Parei na colônia penal Não sou de briga mas tirei O sangue de um homem mau E separei sem querer Sua alma do corpo"
Os Ofendidos,/skank/os-ofendidos.html,Cosmotron,"Na estrada de Pompéu me apareceu um velho Velhas roupas e chapéu e um olho cego Me perguntou o que havia de novo nesse mundo Eu disse guerra, crime, e ele: o mundo não me assusta O mundo só me insulta  Numa viela em Corumbá me apareceu um índio Um cigarro em cada mão e um tênis só Me disse que era de uma tribo subindo o Paraguai Mas esta tribo já não há, e o mundo não me assusta O mundo só me insulta  No fliperama do Sion me apareceu o anjo Olhos tristes e batom e uma ficha só Me perguntou se eu precisava de alguma coisa ali Eu disse sim, uma resposta, mas a pergunta me assusta Mas a pergunta  Num trecho entre inferno e céu os dois tão absortos Torre, bispo, Diabo e Deus e um silêncio só Segui em frente e pude ouvir um fio de conversa Ele disse em claro som : o mundo não me assusta O mundo só me insulta  Vou deixar, vou deixar você pensar Que o tempo parou Vou dançar, vou dançar até chover Razões pra viver Morder o calcanhar do tempo Pro tempo correr"
Pacato Cidadão,/skank/pacato-cidadao.html,Multishow Ao Vivo no Mineirão,"Ô pacato cidadão, te chamei a atenção Não foi à toa, não C'est fini la utopia, mas a guerra todo dia Dia a dia não E tracei a vida inteira planos tão incríveis Tramo à luz do sol Apoiado em poesia e em tecnologia Agora à luz do sol  Pacato cidadão Ô pacato da civilização Pacato cidadão Ô pacato da civilização  Ô pacato cidadão, te chamei a atenção Não foi à toa, não C'est fini la utopia, mas a guerra todo dia Dia a dia não E tracei a vida inteira planos tão incríveis Tramo à luz do sol Apoiado em poesia e em tecnologia Agora à luz do sol  Pra que tanta TV, tanto tempo pra perder Qualquer coisa que se queira saber querer Tudo bem, dissipação de vez em quando é bão Misturar o brasileiro com alemão  Pacato cidadão Ô pacato da civilização  Ô pacato cidadão, te chamei a atenção Não foi à toa, não C'est fini la utopia, mas a guerra todo dia Dia a dia não E tracei a vida inteira planos tão incríveis Tramo à luz do sol Apoiado em poesia e em tecnologia Agora à luz do sol  Pra que tanta sujeira nas ruas e nos rios Qualquer coisa que se suje tem que limpar Se você não gosta dele, diga logo a verdade Sem perder a cabeça, sem perder a amizade  Pacato cidadão Ô pacato da civilização Pacato cidadão Ô pacato da civilização  Ô pacato cidadão, te chamei a atenção Não foi à toa, não C'est fini la utopia, mas a guerra todo dia Dia a dia não E tracei a vida inteira planos tão incríveis Tramo à luz do sol Apoiado em poesia e em tecnologia Agora à luz do sol  Consertar o rádio e o casamento é Corre a felicidade no asfalto cinzento Se abolir a escravidão do caboclo brasileiro Numa mão educação, na outra dinheiro  Pacato cidadão Ô pacato da civilização Pacato cidadão Ô pacato da civilização."
Panorâmica,/skank/panoramica.html,Carrossel,"De repente aquela esquina era mais que um lugar Era o encontro casual do céu e do seu olhar A melancolia dos verões entardecendo Contornava as paredes de um hotel E a tarde se desfez na linha do horizonte Agora eu sei quanto tempo faz E quando eu fiquei à espera do perigo Você ficou para sempre na lembrança No silêncio, na distância E no lago azul da noite imensa Meu corpo segue vertical Pensando em você De repente aquela esquina era mais que um lugar Era quase exato tudo que havia em mim Solidão, conforto e o coração se esvaindo Como os tons da tarde morta lá no céu"
Para Lennon e Mccartney,/skank/para-lennon-e-mccartney.html,,"Por que vocês não sabem do lixo ocidental? Não precisam mais temer Não precisam da solidão Todo dia é dia de viver  Por que você não verá meu lado ocidental? Não precisa medo não Não precisa da timidez Todo dia é dia de viver  Eu sou da América do Sul Eu sei, vocês não vão saber Mas agora sou cowboy Sou do ouro, eu sou vocês Sou o mundo, sou Minas Gerais  Por que vocês não sabem do lixo ocidental? Não precisam mais temer Não precisam da solidão Todo dia é dia de viver  Eu sou da América do Sul Eu sei, vocês não vão saber Mas agora sou cowboy Sou do ouro, eu sou vocês"
Pará-raio,/skank/para-raio.html,Estandarte,"Passa o tempo Lento ensaio Espero você aqui Paro dentro, entro e saio Falta você aqui  Calo invento Quieto falo Trago você aqui Lato intenso em detalhes Quero você aqui  Abro e vejo da janela Fogos de artifício Estrelas em mosaico Vidro opaco a luzir  Vasto imenso, feito em partes Fácil para construir Rasgo ao meio em metades Acho você dentro de mim  Assim como o sal feito no mar Azul como o céu e a imensidão Que enche o pulmão de pleno ar Achei seu lugar meu  Seu brinquedo imaginário Feito pra te distrair Paro dentro, entro e saio Falta você aqui  Noite inteira, fim de tarde Meu calendário marca o infinito Em trincheiras que escavo Acho você dentro de mim  Assim como o sal feito no mar Azul como o céu e a imensidão Que enche o pulmão de pleno ar Achei seu lugar meu"
Pegadas Na Lua,/skank/pegadas-na-lua.html,Cosmotron,A parte que me cabe Nesse peito seu Novamente vai se lembrar Sua boca era silêncio A terra queria girar  A parte que me cabe No teu sonho ateu Novamente quer acreditar Em universos infinitos Sem nenhuma luz pra te cegar  A parte que me cabe Nesse peito seu Novamente vai respirar Em lugares abafados Onde ninguém vai passar  A parte que me cabe Nesse espelho seu Novamente vai desejar O que parece inatingível Mas faz o mundo melhorar  Eu sou uma força Jorrando palavras Pelos canos de vitrines e ruas Por onde você vai trafegar  Eu sou essa força Abrindo suas gavetas Tirando palavras que podem Até te contar  Eu tenho uma força Que deixa pegadas na lua Na esquina por onde Você também vai levitar
Périplo,/skank/periplo.html,Velocia,"Meus olhos, périplo Desejam alcançar Seus olhos perdem luz Na imensidão do mar  Eles fogem longe, implodem em mim Explodem hoje, escorrem Eles podem ir onde somem, sim Se mordem, escondem, correm  Meus olhos pedem nus A rendição fugaz Seus olhos ferem crus Na dentição voraz  Eles fogem longe, implodem em mim Explodem hoje, escorrem Eles podem ir onde somem, sim Se mordem, escondem, correm  Sem jamais Ter hora e entra agora, dentro, embora Queira mais Melhora apenas quando chega logo aqui  Seus olhos prego em cruz O meu prazer brutal Meus olhos querem-nos Na perdição vulgar  Eles fogem longe, implodem em mim Explodem hoje, escorrem Eles podem ir onde somem, sim Se mordem, escondem, correm  Sem jamais Ter hora e entra agora, dentro, embora Queira mais Melhora apenas quando chega logo...  Sem jamais Ter hora e entra agora, dentro, embora Queira mais Melhora apenas quando chega logo aqui  Sem jamais Ter hora e entra agora, dentro, embora Queira mais Melhora apenas quando chega logo aqui"
